"ResourceType","LogCategory","MetricCategory","Enabled","RetentionDays","FriendlyName"
"microsoft.compute/virtualmachines","Microsoft-Event","","Yes","30","vm"
"microsoft.compute/virtualmachines","Microsoft-Syslog","","Yes","30","vm"
"microsoft.compute/virtualmachinescalesets","Microsoft-Event","","Yes","30","vmss"
"microsoft.compute/virtualmachinescalesets","Microsoft-Syslog","","Yes","30","vmss"
"microsoft.storage/storageaccounts/blobservices","StorageDelete","","Yes","30","storage-blob"
"microsoft.storage/storageaccounts/fileservices","StorageDelete","","Yes","30","storage-file"
"microsoft.storage/storageaccounts/queueservices","StorageDelete","","Yes","30","storage-queue"
"microsoft.storage/storageaccounts/tableservices","StorageDelete","","Yes","30","storage-table"
"microsoft.sql/servers/databases","Errors","","Yes","30","sqldb"
"microsoft.sql/servers/databases","Timeouts","","Yes","30","sqldb"
"microsoft.sql/servers/databases","Blocks","","Yes","30","sqldb"
"microsoft.sql/servers/databases","Deadlocks","","Yes","30","sqldb"
"microsoft.web/sites","AppServiceHTTPLogs","","Yes","30","webapp"
"microsoft.web/sites","AppServiceConsoleLogs","","Yes","30","webapp"
"microsoft.web/sites","AppServiceAppLogs","","Yes","30","webapp"
"microsoft.web/sites","AppServiceAuditLogs","","Yes","30","webapp"
"microsoft.containerservice/managedclusters","kube-apiserver","","Yes","30","aks"
"microsoft.containerservice/managedclusters","kube-controller-manager","","Yes","30","aks"
"microsoft.containerservice/managedclusters","kube-audit","","Yes","30","aks"
"microsoft.containerservice/managedclusters","kube-audit-admin","","Yes","30","aks"
"microsoft.network/networksecuritygroups","NetworkSecurityGroupEvent","","Yes","30","nsg"
"microsoft.network/networksecuritygroups","NetworkSecurityGroupRuleCounter","","Yes","30","nsg"
"microsoft.network/applicationgateways","ApplicationGatewayAccessLog","","Yes","30","appgw"
"microsoft.network/applicationgateways","ApplicationGatewayFirewallLog","","Yes","30","appgw"
"microsoft.keyvault/vaults","AuditEvent","","Yes","90","kv"
"microsoft.eventhub/namespaces","OperationalLogs","","Yes","30","eventhub"
"microsoft.eventhub/namespaces","KafkaCoordinatorLogs","","Yes","30","eventhub"
"microsoft.servicebus/namespaces","OperationalLogs","","Yes","30","servicebus"
"microsoft.insights/components","AppAvailabilityResults","","Yes","30","appinsights"
"microsoft.insights/components","AppDependencies","","Yes","30","appinsights"
"microsoft.insights/components","AppEvents","","Yes","30","appinsights"
"microsoft.insights/components","AppExceptions","","Yes","30","appinsights"
"microsoft.insights/components","AppRequests","","Yes","30","appinsights"
"microsoft.insights/components","AppSystemEvents","","Yes","30","appinsights"
"microsoft.insights/components","AppTraces","","Yes","30","appinsights"
"microsoft.recoveryservices/vaults","AzureBackupReport","","Yes","30","rsv"
"microsoft.recoveryservices/vaults","CoreAzureBackup","","Yes","30","rsv"
"microsoft.recoveryservices/vaults","AddonAzureBackupJobs","","Yes","30","rsv"
"microsoft.automation/automationaccounts","JobLogs","","Yes","30","automation"
"microsoft.logic/workflows","WorkflowRuntime","","Yes","30","logicapp"
"microsoft.datafactory/factories","ActivityRuns","","Yes","30","adf"
"microsoft.datafactory/factories","PipelineRuns","","Yes","30","adf"
"microsoft.datafactory/factories","TriggerRuns","","Yes","30","adf"
"microsoft.datafactory/factories","SSISPackageEventMessages","","Yes","30","adf"
"microsoft.datafactory/factories","SSISPackageExecutableStatistics","","Yes","30","adf"
"microsoft.datafactory/factories","SSISPackageEventMessageContext","","Yes","30","adf"
"microsoft.datafactory/factories","SSISPackageExecutionComponentPhases","","Yes","30","adf"
"microsoft.datafactory/factories","SSISPackageExecutionDataStatistics","","Yes","30","adf"
"microsoft.datafactory/factories","SSISIntegrationRuntimeLogs","","Yes","30","adf"
"microsoft.dbforpostgresql/flexibleservers","PostgreSQLLogs","","Yes","30","flexibleservers"
"microsoft.dbforpostgresql/flexibleservers","PostgreSQLFlexSessions","","Yes","30","flexibleservers"
"microsoft.dbforpostgresql/flexibleservers","PostgreSQLFlexQueryStoreRuntime","","Yes","30","flexibleservers"
"microsoft.dbforpostgresql/flexibleservers","PostgreSQLFlexQueryStoreWaitStats","","Yes","30","flexibleservers"
"microsoft.dbforpostgresql/flexibleservers","PostgreSQLFlexTableStats","","Yes","30","flexibleservers"
"microsoft.dbforpostgresql/flexibleservers","PostgreSQLFlexDatabaseXacts","","Yes","30","flexibleservers"
"microsoft.network/natgateways","NatGatewayFlowlogsV1","","Yes","30","natgateways"
"microsoft.dbformysql/flexibleservers","MySqlSlowLogs","","Yes","30","flexibleservers"
"microsoft.dbformysql/flexibleservers","MySqlAuditLogs","","Yes","30","flexibleservers"
"microsoft.operationalinsights/workspaces","Audit","","Yes","30","workspaces"
"microsoft.web/sites/slots","AppServiceHTTPLogs","","Yes","30","slots"
"microsoft.web/sites/slots","AppServiceConsoleLogs","","Yes","30","slots"
"microsoft.web/sites/slots","AppServiceAppLogs","","Yes","30","slots"
"microsoft.web/sites/slots","AppServicePlatformLogs","","Yes","30","slots"
"microsoft.cognitiveservices/accounts","Audit","","Yes","30","accounts"
"microsoft.cognitiveservices/accounts","Trace","","Yes","30","accounts"
"microsoft.cognitiveservices/accounts/projects","Audit","","Yes","30","projects"
"microsoft.appconfiguration/configurationstores","Audit","","Yes","30","configurationstores"
"microsoft.cdn/profiles","AzureCdnAccessLog","","Yes","30","profiles"
"microsoft.eventgrid/topics","DeliveryFailures","","Yes","30","topics"
"microsoft.desktopvirtualization/workspaces","Error","","Yes","30","workspaces"
"microsoft.desktopvirtualization/workspaces","Management","","Yes","30","workspaces"
"microsoft.desktopvirtualization/applicationgroups","Error","","Yes","30","applicationgroups"
"microsoft.desktopvirtualization/applicationgroups","Management","","Yes","30","applicationgroups"
"microsoft.desktopvirtualization/hostpools","Error","","Yes","30","hostpools"
"microsoft.desktopvirtualization/hostpools","Management","","Yes","30","hostpools"
"microsoft.desktopvirtualization/hostpools","SessionHostManagement","","Yes","30","hostpools"
"microsoft.desktopvirtualization/hostpools","SessionHostManagement","","Yes","30","hostpools"
"microsoft.desktopvirtualization/hostpools","SessionHostManagement","","Yes","30","hostpools"
"microsoft.desktopvirtualization/hostpools","SessionHostManagement","","Yes","30","hostpools"
"microsoft.desktopvirtualization/hostpools","SessionHostManagement","","Yes","30","hostpools"
"microsoft.aad/domainservices","SystemSecurity","","Yes","30","domainservices"
"microsoft.aad/domainservices","AccountManagement","","Yes","30","domainservices"
"microsoft.aad/domainservices","LogonLogoff","","Yes","30","domainservices"
"microsoft.aad/domainservices","ObjectAccess","","Yes","30","domainservices"
"microsoft.aad/domainservices","PolicyChange","","Yes","30","domainservices"
"microsoft.aad/domainservices","PrivilegeUse","","Yes","30","domainservices"
"microsoft.aad/domainservices","DetailTracking","","Yes","30","domainservices"
"microsoft.aad/domainservices","DirectoryServiceAccess","","Yes","30","domainservices"
"microsoft.aad/domainservices","AccountLogon","","Yes","30","domainservices"
"microsoft.aad/domainservices","DNSServerAuditsDynamicUpdates","","Yes","30","domainservices"
"microsoft.aad/domainservices","DNSServerAuditsGeneral","","Yes","30","domainservices"
